Feature Name,Human Readable Name,Description
INCIDENT_AREA_TYPE_TRANSITION_AREA,Area Type: Transition,"Incident occurred in a transition area (1 if yes, 0 otherwise)"
INCIDENT_AREA_TYPE_UNDERGROUND,Area Type: Underground,"Incident occurred in an underground area (1 if yes, 0 otherwise)"
LOCATION_TYPE_PIPELINE_RIGHT_OF_WAY,Location: ROW,"Incident occurred in the pipeline right-of-way (1 if yes, 0 otherwise)"
LOCATION_TYPE_TOTALLY_CONTAINED_ON_OPERATOR_CONTROLLED_PROPERTY,Location: Operator Property,"Incident was totally contained on operator-controlled property (1 if yes, 0 otherwise)"
MATERIAL_INVOLVED_MATERIAL_OTHER_THAN_CARBON_STEEL,Material: Non-Carbon Steel,"Material involved was not carbon steel (1 if yes, 0 otherwise)"
MOP_PSIG,MOP (psig),Natural log of (1+ Maximum operating pressure (MOP) of the pipeline in psig) 
SYSTEM_PART_INVOLVED_ONSHORE_PUMP_METER_STATION_EQUIPMENT_AND_PIPING,System Part: Pump/Meter Station,"System part involved was an onshore pump or meter station equipment and piping(1 if yes, 0 otherwise)"
SYSTEM_PART_INVOLVED_ONSHORE_TERMINAL_TANK_FARM_EQUIPMENT_AND_PIPING,System Part: Terminal/Tank Farm,"System part involved was an onshore terminal or tank farm equipment and piping (1 if yes, 0 otherwise)"
SYSTEM_PART_INVOLVED_OTHER,System Part: Other,"System part involved was classified as ""Other"" (1 if yes, 0 otherwise)"
CAUSE_EQUIPMENT_FAILURE,Cause: Equipment Failure,"Cause of incident was equipment failure (1 if yes, 0 otherwise)"
CAUSE_EXCAVATION_DAMAGE,Cause: Excavation Damage,"Cause of incident was excavation damage (1 if yes, 0 otherwise)"
CAUSE_INCORRECT_OPERATION,Cause: Incorrect Operation,"Cause of incident was incorrect operation (1 if yes, 0 otherwise)"
CAUSE_MATERIAL_FAILURE_OF_PIPE_OR_WELD,Cause: Pipe/Weld Failure,"Cause of incident was pipe or weld material failure (1 if yes, 0 otherwise)"
CAUSE_NATURAL_FORCE_DAMAGE,Cause: Natural Force,"Cause of incident was natural force damage (1 if yes, 0 otherwise)"
CAUSE_OTHER_ACCIDENT_CAUSE,Cause: Other Accident,"Cause of incident was classified as ""Other accident cause"" (1 if yes, 0 otherwise)"
CAUSE_OTHER_OUTSIDE_FORCE_DAMAGE,Cause: Outside Force Damage,"Cause of incident was outside force damage (1 if yes, 0 otherwise)"
CPM_IN_PLACE_IND_YES,CPM in Place,"Computational Pipeline Monitoring (CPM) system was in place (1 if yes, 0 otherwise)"
PIPELINE_FUNCTION_GT_20__SMYS_REGULATED_GATHERING,Function: Gathering >20% SMYS,"Pipeline was regulated gathering line >20% SMYS (1 if yes, 0 otherwise)"
PIPELINE_FUNCTION_GT_20__SMYS_REGULATED_TRANSMISSION,Function: Transmission >20% SMYS,"Pipeline was regulated transmission line >20% SMYS (1 if yes, 0 otherwise)"
PIPELINE_FUNCTION__LT_20__SMYS_REGULATED_GATHERING,Function: Gathering <20% SMYS,"Pipeline was regulated gathering line <20% SMYS (1 if yes, 0 otherwise)"
PIPE_FACILITY_TYPE_INTRASTATE,Facility Type: Intrastate,"Pipeline facility was classified as intrastate (1 if yes, 0 otherwise)"
PRESSURE_RESTRICTION_IND_YES,Pressure Restriction Applied,"Pressure restriction was applied as a result of the incident (1 if yes, 0 otherwise)"
RELEASE_TYPE_MECHANICAL_PUNCTURE,Release: Mechanical Puncture,"Accident type was mechanical puncture (1 if yes, 0 otherwise)"
RELEASE_TYPE_OTHER,Release: Other,"Accident type was other than leak, overfill/overflow,mechanical puncture, and rupture (1 if yes, 0 otherwise)"
RELEASE_TYPE_OVERFILL_OR_OVERFLOW,Release: Overfill/Overflow,"Accident type was overfill or overflow (1 if yes, 0 otherwise)"
RELEASE_TYPE_RUPTURE,Release: Rupture,"Accident type was rupture (1 if yes, 0 otherwise)"
SCADA_IN_PLACE_IND_YES,SCADA in Place,"SCADA system was in place (1 if yes, 0 otherwise)"
Shutdown_Duration_Hours,Shutdown Duration,Duration (in hours) of shutdown if the incident resulted in one
SHUTDOWN_DUE_ACCIDENT_IND_YES,Shutdown Indication,"Shutdown Indication ( 1 if yes, 0 otherwise)"
